x,y,z,eta,theta_deg,phi_deg,cp_true,cp_med
1.9923893962e+00,4.3577871374e-02,0.0000000000e+00,9.9619469809e-01,5.000000,0.000000,8.7237125352e-01,8.5284901077e-01
1.9920828965e+00,-3.2768293770e-02,3.0026609101e-02,9.9604144827e-01,5.099753,137.500000,8.6778505408e-01,8.5441674726e-01
1.9911277029e+00,4.1001700226e-03,-4.6865157808e-02,9.9556385147e-01,5.398851,275.000000,8.5373460421e-01,8.7426321578e-01
1.9894170827e+00,3.1271200812e-02,4.0753422337e-02,9.9470854137e-01,5.896808,52.500000,8.2945307479e-01,8.9995142238e-01
1.9867743315e+00,-5.6534181861e-02,-9.9685015943e-03,9.9338716573e-01,6.592818,190.000000,7.9401304894e-01,8.0893920490e-01
1.9829545885e+00,5.4938351379e-02,-3.4999589842e-02,9.9147729426e-01,7.485750,327.500000,7.4679663229e-01,7.6048719461e-01
1.9776474582e+00,-1.9293580930e-02,7.2004624290e-02,9.8882372912e-01,8.574156,105.000000,6.8800541941e-01,6.6476169681e-01
1.9704805086e+00,-3.9520422406e-02,-7.5918025093e-02,9.8524025431e-01,9.856272,242.500000,6.1902905159e-01,6.1604967337e-01
1.9610237330e+00,9.2305944063e-02,3.3596616085e-02,9.8051186648e-01,11.330018,20.000000,5.4249157331e-01,5.4500745637e-01
1.9487950641e+00,-1.0385886345e-01,4.3019749815e-02,9.7439753203e-01,12.993002,157.500000,4.6190760675e-01,4.7853299762e-01
1.9332670297e+00,5.4129649127e-02,-1.1608140716e-01,9.6663351483e-01,14.842528,295.000000,3.8106259731e-01,3.8208636052e-01
1.9138746267e+00,4.3646640990e-02,1.3842945970e-01,9.5693731334e-01,16.875597,72.500000,3.0336030760e-01,2.5791556223e-01
1.8900244727e+00,-1.4161029697e-01,-8.1758743076e-02,9.4501223637e-01,19.088909,210.000000,2.3136519667e-01,2.4363765188e-01
1.8611052638e+00,1.7873937555e-01,-3.9625565563e-02,9.3055263190e-01,21.478875,347.500000,1.6663628680e-01,1.2760962474e-01
1.8264995288e+00,-1.1683755803e-01,1.6686132562e-01,9.1324976440e-01,24.041619,125.000000,1.0980976267e-01,1.2273779465e-01
1.7855966245e+00,-2.9398194199e-02,-2.2330145449e-01,8.9279831227e-01,26.772984,262.500000,6.0818514537e-02,1.0709745129e-01
1.7378068587e+00,1.8958896991e-01,1.5908403473e-01,8.6890342934e-01,29.668540,40.000000,1.9142160616e-02,-1.5216392791e-02
1.6825765681e+00,-2.7003611045e-01,1.1790031202e-02,8.4128828405e-01,32.723590,177.500000,-1.5977835050e-02,-5.2130639290e-02
1.6194039140e+00,2.0747974022e-01,-2.0747974022e-01,8.0970195700e-01,35.933178,315.000000,-4.5382200022e-02,-8.1809227332e-02
1.5478550898e+00,-1.3811515336e-02,3.1633570912e-01,7.7392754488e-01,39.292099,92.500000,-6.9895318435e-02,-1.1550896224e-01
1.4675805726e+00,-2.1834725325e-01,-2.6021612350e-01,7.3379028631e-01,42.794905,230.000000,-9.0271400648e-02,-1.5254561207e-01
1.3783309937e+00,3.5920244287e-01,4.7289898744e-02,6.8916549685e-01,46.435913,7.500000,-1.0717098435e-01,-8.1855513329e-02
1.2799721512e+00,-3.1471268872e-01,2.2036419701e-01,6.3998607558e-01,50.209219,145.000000,-1.2115586363e-01,-1.6021971175e-01
1.1724986582e+00,8.7672186173e-02,-3.9546367570e-01,5.8624932911e-01,54.108701,282.500000,-1.3269398697e-01,-1.6620034897e-01
1.0560456999e+00,2.1230754077e-01,3.6772744745e-01,5.2802284996e-01,58.128036,60.000000,-1.4216888938e-01,-1.3122646771e-01
9.3089837651e-01,-4.2205532585e-01,-1.3307353308e-01,4.6544918825e-01,62.260703,197.500000,-1.4989043815e-01,-1.1930596154e-01
7.9749813785e-01,4.1556934330e-01,-1.9378316727e-01,3.9874906893e-01,66.500000,335.000000,-1.5610512784e-01,-9.2024102419e-02
6.5644586468e-01,-1.8074144048e-01,4.3634843688e-01,3.2822293234e-01,70.839050,112.500000,-1.6100504212e-01,-1.3860593254e-01
5.0850122781e-01,-1.6539040184e-01,-4.5440639444e-01,2.5425061391e-01,75.270815,250.000000,-1.6473508924e-01,-1.9799332602e-01
3.5457805636e-01,4.3647977140e-01,2.2721698722e-01,1.7728902818e-01,79.788107,27.500000,-1.6739835385e-01,-1.8489855943e-01
1.9573556578e-01,-4.8064441383e-01,1.2878828253e-01,9.7867782889e-02,84.383599,165.000000,-1.6905948154e-01,-1.3704878912e-01
3.3165433659e-02,2.6861286410e-01,-4.2163773861e-01,1.6582716829e-02,89.049837,302.500000,-1.6974597567e-01,-1.8327380275e-01
